Tool Name,Country of Origin,Preparation of the detailed data sheet,Responsible Institution,Purpose of the Tool,Moment of Productive Activity,Taxonomy of tools (main),Information Access Channels,Typology of Communication Channels,Main Target Audience,Scope of Application,Access Model,Interaction Dimension,Institutional Nature,Organization Category,Language of Availability,WhatsApp integration,Required Connectivity,Level of Digitization,Tool Opening Level,Link,Description (summary)
Sour – plant diagnostics (Israel),International,Yeah,Saillog Ltd,Technical Advisory,During,Diagnostic Imaging and Identification,Application,Mass media,Producer,General,Paid,Producer ↔ Content/Platform,Private,Private Sector,English,No,Yeah,Digital Transformation,Accessible to Third Parties,https://apps.apple.com/us/app/agrio-plant-diagnosis-app/id1239193220;https://play.google.com/store/apps/details?id=com.agrio,"Agrio is a precision agriculture tool that uses artificial intelligence to assist farmers and technicians in their work. One solution allows for the remote identification and management of diseases and pests, contributing to faster and more appropriate decisions in daily production. Through artificial intelligence algorithms and computer vision, Agrio assists in monitoring crops and using resources more efficiently, with a focus on improving the productivity and sustainability of production systems."
BayAgri Plus (Germany),International,No,Bayer AG,Learning,Before ,"Pest Management and Control (Biological, Natural and Chemical)",Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Private,Private Sector,English,No,Yeah,Digitization,Accessible to Third Parties,https://apps.apple.com/us/app/bayagri-plus/id6450846659; https://play.google.com/store/apps/details?id=com.bayer.vegetablesbybayer,"This application supports the selection of agricultural inputs by gathering information and experiences shared by producers, distributors, and other stakeholders in the sector. The tool helps consider different regional contexts when selecting products for your work."
COMPO EXPERT Crop Companion (Germany),International,No,Compo Expert,Technical Advisory,Before ,"Fertilizers, inoculants and nutrients",Application,Mass media,Both,General,Paid,Producer ↔ Content/Platform,Private,Private Sector,English,No,Yeah,Digitization,Accessible to Third Parties,https://apps.apple.com/us/app/compo-expert-crop-companion/id1633269835,"The tool gathers technical information on agricultural products and usage recommendations, helping to consult relevant data for plant management and make decisions in the field in a practical way from your cell phone."
Fertilizer conversion calculator (Israel),International,No,Haifa Group,Technical Advisory,Before ,"Fertilizers, inoculants and nutrients",Site,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Private,Private Sector,English,No,Yeah,Digital Transformation,Accessible to Third Parties,https://www.haifa-group.com/fertilizer-conversion-calculator,"Tools to help easily convert between various units used in the agricultural area: ppm to mmol/l and meq/l, yield and conversion rate, EC units."
LifeGrow (Uganda),International,No,CTI Africa Limited, Management,During,Integrated Production Monitoring and Management,Application,Mass media,Producer,General,Paid,Producer ↔ Content/Platform,Private,Private Sector,English,No,Yeah,Digital Transformation,Accessible to Third Parties,https://play.google.com/store/apps/details?id=com.ctiafrica.lifegrow,"LifeGrow is an application designed to support farmers and technicians in monitoring production activities. The tool allows users to record information about tasks, management practices, and field data, contributing to information organization and tracking of product performance."
Map My Crop (United States),International,No,"Hardcastle Agrotech Solutions Inc.
",Technical Advisory,During,Remote Sensing,Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Private,Private Sector,English,No,Yeah,Digital Transformation,Accessible to Third Parties,https://play.google.com/store/apps/details?id=com.mapmycroplite.mmc,"A digital tool focused on monitoring agricultural activities through satellite imagery. The application allows monitoring aspects such as crop development, general working conditions, and climatic variables, remotely supporting or monitoring production areas. The tool uses updated data to assist farmers, agronomists, and technicians in the analysis and planning of agricultural activities."
Plantix (Germany),International,No,PEAT GmbH,Technical Advisory,During,Diagnostic Imaging and Identification,Site,Mass media,Both,General,Free,Producer ↔ Content/Platform,Private,Private Sector,English,Yeah,Yeah,Digitization,Accessible to Third Parties,"https://plantix.net/en/library/plant-diseases/
https://play.google.com/store/apps/details?id=com.peat.GartenBank&hl=en&utm_content=en&utm_medium=web_library&utm_source=plantix_web&referrer=utm_content%3Den%26utm_medium%3Dweb_library%26utm_source%3Dplantix_web","The site contains photos and fact sheets to assist farmers in diagnosing pests, diseases, and nutritional deficiencies. We also offer a free crop diagnosis service via WhatsApp."
Plant Village (United States),International,No,The Pennsylvania State University,Technical Advisory,During,Diagnostic Imaging and Identification,Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,University,English,No,No,Digital Transformation,Accessible to Third Parties,https://apps.apple.com/us/app/plantvillage-nuru/id1441395371; https://play.google.com/store/apps/details?id=plantvillage.nuru,"A publicly accessible application that uses a digital assistant to detect or diagnose crop diseases, even in contexts without an internet connection. Developed at the Universidade Estadual da Pensilvânia (Penn State University), this tool is based on machine learning techniques, using Google's TensorFlow platform and an image database to identify visual symptoms in plants and inform agricultural management decisions."
SOW - A Planting Companion (United States),International,Yeah,"Alabama Cooperative Extension System
",Technical Advisory,During,Consulting & Technical Assistance,Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Organized Civil Society,Cooperative,English,No,Yeah,Digital Transformation,Accessible to Third Parties,https://play.google.com/store/apps/details?id=edu.aces.SOW,"The application we've designed supports planting planning in vegetable gardens, indicating the most suitable planting periods based on the selected location. By choosing a crop, the user can access additional information, such as the estimated harvest time, approximate plant productivity, and recommended spacing between plants."
The Biocontrol Advisor (France),International,No,Bioline Agrosciences France,Technical Advisory,Before ,"Pest Management and Control (Biological, Natural and Chemical)",Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Private,Private Sector,English,No,No,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=bioline.app,"The Bioline application, developed by Bioline Agrosciences, was created to assist producers with daily tasks in the field. The tool gathers technical information about the company's biosolutions, offering reference content focused on clarifying operational doubts and agricultural management. Essential materials can be accessed offline, allowing the application to be used in areas with limited connectivity."
Rauch (Germany),International,No,"Rauch Landmaschinenfabrik Gesellschaft mit beschränkter Haftung
",Technical Advisory,Before ,"Fertilizers, inoculants and nutrients",Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Private,Private Sector,Multilingual,No,No,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=de.ms.neusta.rauch_streutabelle_android,"The RAUCH application (formerly ""Fertilizer Table"") is an interactive configuration table for current and previous RAUCH fertilizer spreader series, which, unlike the online web version, can also be used offline. In the RAUCH Fertilizer Spreader application, you will find specific configuration values ​​for dosing and distributing over 3,000 different fertilizers, both granular and fine, which are dynamically calculated for your model and configuration, even for machines without electrical controls."
Agrokeep (Greece),International,No,Teslinskiy, Management,During,"Meteorology, Climate and Irrigation",Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Private,Private Sector,Multilingual,No,Yeah,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=com.agrokeep.Agrokeep,"Mobile application that allows access to seasonal meteorological data and agronomic forecasts, supporting the planning of agricultural activities. The tool makes it possible to monitor climatic conditions, consult forecasts, estimate the probability of occurrence, calculate the most appropriate time for the use of pesticides and estimate graus-days and thermal units related to the development of insects, contributing to a more informed decision-making in the management of tasks."
Sustainable Landscape Verification,Argentina,Yeah,Ucrop.it,Management,Before ,"Document Management, Certifications, Registrations and Regularization",Application,Mass media,Producer,General,Paid,Producer ↔ Content/Platform,Private,Startup,Multilingual,No,Yeah,Digital Transformation,Accessible to Third Parties,https://ucrop.it/es/verificacion-del-paisaje/,"A geospatial tool that assesses deforestation and land-use risks, verifying compliance with international sustainability standards. Note: Ucrop.it - ​​An Argentinian technology company founded in 2018, specializing in agricultural sustainability and traceability using blockchain technology, with international operations and free access for producers."
