Nombre de la Herramienta,País de Origen,Elaboración de la ficha detallada,Institución Responsable,Finalidad de la Herramienta,Momento de la Actividad Productiva,Taxonomia da ferramenta (principal),Canales de Acceso a la Información,Tipología de los Canales de Comunicación,Público Objetivo Principal,Alcance de Aplicación,Modelo de Acceso,Dimensión de Interacción,Naturaleza Institucional,Categoría de la Organización,Idioma de Disponibilización,Integración con WhatsApp,Conectividad Necesaria,Nivel de Digitalización,Nivel de Apertura de la Herramienta,Link,Descripción (resumen)
Verificación de Paisaje Sustentable,Argentina,Sí,Ucrop.it,Gestión,Antes ,"Gestión Documental, Certificaciones, Registros y Regularización ",Aplicación,Medios de masa,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Startup,Multilingüe,No,Sí,Transformación Digital,Accesible a Terceros,https://ucrop.it/es/verificacion-del-paisaje/,"Herramienta geoespacial que evalúa riesgos de deforestación y uso del suelo, verificando el cumplimiento de estándares internacionales de sostenibilidad. Obs. Ucrop.it - Empresa tecnológica argentina fundada en 2018, especializada en sostenibilidad agrícola y trazabilidad mediante tecnología blockchain, con actuación internacional y acceso gratuito para productores."
Trazabilidad de Producto,Argentina,Sí,Ucrop.it,Comercialización,Después,"Seguridad Alimentaria, Trazabilidad y Storytelling del Producto",Aplicación,No se aplica,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Startup,Multilingüe,No,Sí,Transformación Digital,Accesible a Terceros,Trazabilidad – ucrop.it,"Solución que permite comunicar el origen y las prácticas sostenibles de los productos agrícolas a lo largo de la cadena, mediante reportes digitales y códigos QR. Obs. Ucrop.it - Empresa tecnológica argentina fundada en 2018, especializada en sostenibilidad agrícola y trazabilidad mediante tecnología blockchain, con actuación internacional y acceso gratuito para productores."
Agro Consultas Online-  Consulta con expertos ,Argentina,Sí,AgroConsultas Online, Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Ambos,General,Gratuito,Productor ↔ Extensionista,Privada,Sector Privado,Espanhol,Sí,Sí,Digitalización,Accesible a Terceros, https://www.agroconsultasonline.com/,"Plataforma digital para realizar consultas a especialistas, participar en eventos en línea e intercambiar experiencias. Además de la consultoría pública, la plataforma ofrece una biblioteca digital con artículos, herramientas, videos y materiales técnicos, organizados por tema y tipo de producción."
Chat ACO,Argentina,Sí,AgroConsultas Online, Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Website; Chatbots,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.agroconsultasonline.com/chataco,Es un asistente de inteligencia artificial para la agricultura
Capacitaciones,Argentina,Sí,AgroConsultas Online,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Plataformas de E-learning,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.agroconsultasonline.com/trainings,"Plataforma de capacitación en línea orientada a la formación técnica en el sector agropecuario, que ofrece cursos, entrenamientos y contenidos especializados impartidos por especialistas."
Extension Solution ,Argentina,Sí,Solidaridad, Orientación Técnica,Antes ,"Gestión Institucional de Registro, Monitoreo y Catastro de ATER",Aplicación ,Medios de masa,Extensionista,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Privada,Organización Internacional,Multilingüe,No,No,Digitalización,Accesible a Terceros, https://solidaridadlatam.org/brasil/extension-solution/,"La herramienta permite el registro de productores, el seguimiento de visitas técnicas, la recolección estructurada de datos en campo, el monitoreo de indicadores productivos y socioambientales y la gestión de las acciones de ATER."
Farming Solution ,Argentina,Sí,Solidaridad, Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación ,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Organización Internacional,Multilingüe,No,No,Digitalización,Accesible a Terceros,https://solidaridadlatam.org/brasil/farming-solution/,"La herramienta, dirigida a los productores, permite el registro y el seguimiento de las unidades productivas, la recolección de datos productivos y socioambientales, el monitoreo de prácticas agrícolas, el control de indicadores de sostenibilidad y el apoyo a la toma de decisiones en la finca, contribuyendo a la mejora de la productividad, la trazabilidad y el desempeño socioambiental de las cadenas agrícolas."
Agrolearning,Argentina,Sí,Solidaridad,Aprendizaje,Antes ,"Contenido, Educación y Red Social",Plataformas de E-learning,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Organización Internacional,Multilingüe,No,Sí,Digitalización,Accesible a Terceros,https://solidaridadlatam.org/brasil/servicos/#solucoes-educativas,"Aplicación que permite acceder a cursos y herramientas orientadas a mejorar las prácticas agronómicas y a desarrollar habilidades financieras, digitales y sociales."
"Sistema Integrado de Monitoreo Agrícola
 - SIMA",Argentina,Sí,SIMA, Orientación Técnica,Dentro ,Diagnóstico e Identificación por Imagen,Aplicación; Paneles de Monitoreo (Dashboards),Medios de masa,Productor,General,Pago,Extensionista ↔ Contenido/Plataforma,Privada,Sector Privado,Multilingüe,No,Sí,Transformación Digital,Accesible a Terceros,https://sima.ag/pt,"Un sistema de agricultura inteligente que le permite realizar monitoreos en campo de forma georreferenciada, analizar información y generar órdenes de servicio."
Servicio Meteorológico Nacional Argentina ,Argentina,No,Ministerio de Defensa, Orientación Técnica,Dentro ,"Meteorología, Clima e Irrigación",Website,Medios de masa,Ambos,General,Gratuito,Extensionista ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.smn.gob.ar/radar,"Pone a disposición imágenes de radar meteorológico en tiempo casi real, permitiendo seguir la ocurrencia y la intensidad de lluvias, tormentas y otros eventos atmosféricos. La herramienta apoya el monitoreo del clima, la emisión de alertas y la toma de decisiones."
